講義名,時間割コード,開講時期,担当教員,開講学部,曜日時限,評価方法
自立英語[Independent English Learning],9005001,春学期,"バスタミ，モハマド[BASTAMI,MOHAMMAD]",全学教育／教養教育,,成績評価は，基本的に学期全体を通じた，授業（授業中の活動、宿題の課題等）への取り組みに基づいて，質と量の両面から行う。英語力自体や練習問題の正解率等によって，単純に評価されない。単位取得のためには，以下の3つの条件をすべて満たさなければならない:（１）授業時間の3分の２に出席する(理由を問わず（大学によって定められた正当な理由*は別である），欠席・遅刻・早退，等による授業への不在時間が450分以下である。)（２）期末プロジェクトにて60%以上の点数を獲得する（３）学期を通じた課題（授業中の活動、自宅学習、期末プロジェクト等）全体において，60%以上の得点を獲得するこの条件を満たした者に対し，成績評価を行う。*葬儀、指定感染症、または陪審員義務による欠席は取り消される場合があります。担当教員に確認してください。
自立英語[Independent English Learning],9005001,春学期,"バスタミ，モハマド[BASTAMI,MOHAMMAD]",全学教育／教養教育,,"Grading is based on students' engagement with course activities and amount of effort expended. It is not based on English level per se.This class heavily emphasizes in-class performance and homework (80% of course grade). A final project (20% of course grade) is also required. Because the course heavily weighs in-class performance, absences will adversely affect students' course grades.Students who miss more than 450 minutes of class time (absence, tardiness, or early departure, regardless of reason, except for reasons stipulated by the university*) will automatically fail the course.Students must fulfill all three of these requirements to pass the class: (1) attend at least two-thirds of all class time (no more than 450 minutes not present in class); (2) receive a score of 60% or higher on the final report; (3) earn a score of 60% or higher in all coursework in total.*Students absent because of funerals, specified infectious diseases, or jury duty may have the absence expunged. Inquire with the instructor."
自立英語[Independent English Learning],9005002,春学期,ウェセルホフ＝アオキ，ローリー[WESSELHOFF=AOKI LAURIE],全学教育／教養教育,,成績評価は，基本的に学期全体を通じた，授業（授業中の活動、宿題の課題等）への取り組みに基づいて，質と量の両面から行う。英語力自体や練習問題の正解率等によって，単純に評価されない。単位取得のためには，以下の3つの条件をすべて満たさなければならない:（１）授業時間の3分の２に出席する(理由を問わず（大学によって定められた正当な理由*は別である），欠席・遅刻・早退，等による授業への不在時間が450分以下である。)（２）期末プロジェクトにて60%以上の点数を獲得する（３）学期を通じた課題（授業中の活動、自宅学習、期末プロジェクト等）全体において，60%以上の得点を獲得するこの条件を満たした者に対し，成績評価を行う。*葬儀、指定感染症、または陪審員義務による欠席は取り消される場合があります。担当教員に確認してください。
自立英語[Independent English Learning],9005002,春学期,ウェセルホフ＝アオキ，ローリー[WESSELHOFF=AOKI LAURIE],全学教育／教養教育,,"Grading is based on students' engagement with course activities and amount of effort expended. It is not based on English level per se.This class heavily emphasizes in-class performance and homework (80% of course grade). A final project (20% of course grade) is also required. Because the course heavily weighs in-class performance, absences will adversely affect students' course grades.Students who miss more than 450 minutes of class time (absence, tardiness, or early departure, regardless of reason, except for reasons stipulated by the university*) will automatically fail the course.Students must fulfill all three of these requirements to pass the class: (1) attend at least two-thirds of all class time (no more than 450 minutes not present in class); (2) receive a score of 60% or higher on the final report; (3) earn a score of 60% or higher in all coursework in total.*Students absent because of funerals, specified infectious diseases, or jury duty may have the absence expunged. Inquire with the instructor."
自立英語[Independent English Learning],9005003,春学期,笠見 直子[KASAMI NAOKO],全学教育／教養教育,,成績評価は，基本的に学期全体を通じた，授業（授業中の活動、宿題の課題等）への取り組みに基づいて，質と量の両面から行う。英語力自体や練習問題の正解率等によって，単純に評価されない。単位取得のためには，以下の3つの条件をすべて満たさなければならない:（１）授業時間の3分の２に出席する(理由を問わず（大学によって定められた正当な理由*は別である），欠席・遅刻・早退，等による授業への不在時間が450分以下である。)（２）期末プロジェクトにて60%以上の点数を獲得する（３）学期を通じた課題（授業中の活動、自宅学習、期末プロジェクト等）全体において，60%以上の得点を獲得するこの条件を満たした者に対し，成績評価を行う。*葬儀、指定感染症、または陪審員義務による欠席は取り消される場合があります。担当教員に確認してください。
自立英語[Independent English Learning],9005003,春学期,笠見 直子[KASAMI NAOKO],全学教育／教養教育,,"Grading is based on students' engagement with course activities and amount of effort expended. It is not based on English level per se.This class heavily emphasizes in-class performance and homework (80% of course grade). A final project (20% of course grade) is also required. Because the course heavily weighs in-class performance, absences will adversely affect students' course grades.Students who miss more than 450 minutes of class time (absence, tardiness, or early departure, regardless of reason, except for reasons stipulated by the university*) will automatically fail the course.Students must fulfill all three of these requirements to pass the class: (1) attend at least two-thirds of all class time (no more than 450 minutes not present in class); (2) receive a score of 60% or higher on the final report; (3) earn a score of 60% or higher in all coursework in total.*Students absent because of funerals, specified infectious diseases, or jury duty may have the absence expunged. Inquire with the instructor."
自立英語[Independent English Learning],9005004,春学期,ガラン，アーネル フランシス ジュニア[GALANG ARNEL FRANCIS JR],全学教育／教養教育,,成績評価は，基本的に学期全体を通じた，授業（授業中の活動、宿題の課題等）への取り組みに基づいて，質と量の両面から行う。英語力自体や練習問題の正解率等によって，単純に評価されない。単位取得のためには，以下の3つの条件をすべて満たさなければならない:（１）授業時間の3分の２に出席する(理由を問わず（大学によって定められた正当な理由*は別である），欠席・遅刻・早退，等による授業への不在時間が450分以下である。)（２）期末プロジェクトにて60%以上の点数を獲得する（３）学期を通じた課題（授業中の活動、自宅学習、期末プロジェクト等）全体において，60%以上の得点を獲得するこの条件を満たした者に対し，成績評価を行う。*葬儀、指定感染症、または陪審員義務による欠席は取り消される場合があります。担当教員に確認してください。
自立英語[Independent English Learning],9005004,春学期,ガラン，アーネル フランシス ジュニア[GALANG ARNEL FRANCIS JR],全学教育／教養教育,,"Grading is based on students' engagement with course activities and amount of effort expended. It is not based on English level per se.This class heavily emphasizes in-class performance and homework (80% of course grade). A final project (20% of course grade) is also required. Because the course heavily weighs in-class performance, absences will adversely affect students' course grades.Students who miss more than 450 minutes of class time (absence, tardiness, or early departure, regardless of reason, except for reasons stipulated by the university*) will automatically fail the course.Students must fulfill all three of these requirements to pass the class: (1) attend at least two-thirds of all class time (no more than 450 minutes not present in class); (2) receive a score of 60% or higher on the final report; (3) earn a score of 60% or higher in all coursework in total.*Students absent because of funerals, specified infectious diseases, or jury duty may have the absence expunged. Inquire with the instructor."
自立英語[Independent English Learning],9005005,春学期,"カティビ，ファルナズ[KHATIBI,FARNAZ]",全学教育／教養教育,,成績評価は，基本的に学期全体を通じた，授業（授業中の活動、宿題の課題等）への取り組みに基づいて，質と量の両面から行う。英語力自体や練習問題の正解率等によって，単純に評価されない。単位取得のためには，以下の3つの条件をすべて満たさなければならない:（１）授業時間の3分の２に出席する(理由を問わず（大学によって定められた正当な理由*は別である），欠席・遅刻・早退，等による授業への不在時間が450分以下である。)（２）期末プロジェクトにて60%以上の点数を獲得する（３）学期を通じた課題（授業中の活動、自宅学習、期末プロジェクト等）全体において，60%以上の得点を獲得するこの条件を満たした者に対し，成績評価を行う。*葬儀、指定感染症、または陪審員義務による欠席は取り消される場合があります。担当教員に確認してください。
自立英語[Independent English Learning],9005005,春学期,"カティビ，ファルナズ[KHATIBI,FARNAZ]",全学教育／教養教育,,"Grading is based on students' engagement with course activities and amount of effort expended. It is not based on English level per se.This class heavily emphasizes in-class performance and homework (80% of course grade). A final project (20% of course grade) is also required. Because the course heavily weighs in-class performance, absences will adversely affect students' course grades.Students who miss more than 450 minutes of class time (absence, tardiness, or early departure, regardless of reason, except for reasons stipulated by the university*) will automatically fail the course.Students must fulfill all three of these requirements to pass the class: (1) attend at least two-thirds of all class time (no more than 450 minutes not present in class); (2) receive a score of 60% or higher on the final report; (3) earn a score of 60% or higher in all coursework in total.*Students absent because of funerals, specified infectious diseases, or jury duty may have the absence expunged. Inquire with the instructor."
