講義名,時間割コード,開講時期,担当教員,開講学部,曜日時限,評価方法
行政法[Administrative Law],2004003,春学期,板垣 勝彦[ITAGAKI KATSUHIKO],経済学部,,筆記試験による。
公法特別講義・憲法[Public Law (Constitutional Law)],2004028,秋学期,君塚 正臣[KIMIZUKA MASAOMI],経済学部,水曜3限,期末試験（択一式と論述式の併用。追再試験はこれと異なる場合がある）による。ただし、授業中、指し、これによい回答をした場合や小レポート提出率が極めて高い場合などに若干の追加得点を与える場合がある。
民事法特別講義・企業取引法[Civil Law（Business Transaction Law）],2004036,春学期,笹岡 愛美[SASAOKA MANAMI],経済学部,火曜2限,○定期試験(100％)・授業の範囲から出題します。・試験は、対面で実施する予定です。ただし、状況によりオンライン試験（またはレポート）の成績に基づく評価に変更する可能性があります。
ミクロ経済学Ⅰ［大学院］[Microeconomics Ⅰ],2007002,春学期,石田 航[ISHIDA WATARU],経済学部,,定期試験の点数のみによって成績を決定する。
ミクロ経済学Ⅱ［大学院］[Microeconomics Ⅱ],2007003,春学期,朝見 絢二朗[ASAMI KENJIRO],経済学部,,宿題（10%）、中間テスト（30%）、期末試験（60%）を目安に評価する。中間テストの詳細は授業内でアナウンスする。
マクロ経済学Ⅰ［大学院］[Macroeconomics Ⅰ],2007004,春学期,藤生 源子[FUJIO MINAKO],経済学部,,宿題　30％　中間テスト 35% 期末テスト　35％
マクロ経済学Ⅱ［大学院］[Macroeconomics Ⅱ],2007005,秋学期,相馬 尚人[SOMA NAOTO],経済学部,,期末試験（70%）・小テスト2回（30%）
現代経済システム［大学院］[Contemporary Economic Systems],2007006,春学期,小川 翔吾[OGAWA SHOGO],経済学部,,定期試験(100%)によって評価する。試験は授業支援システムの「レポート」機能を使い、各自が授業資料やその他の資料を参照できる状態で、論述を行う形をとる。
比較経済システム［大学院］[Comparative Economic System],2007007,秋学期,陳 雨[CHEN YUTING],経済学部,,出席（30%）レポート（30%）プレゼンテーション（40%）
世界経済論［大学院］[World Economy],2007009,春学期,張 馨元[ZHANG XINYUAN],経済学部,,授業中のディスカッション議論20％、学習レポート（60％＝15％×4回）、期末レポート（20%）
経済史［大学院］[Economic History],2007010,春学期,石山 幸彦[ISHIYAMA YUKIHIKO],経済学部,,毎回の発言内容とレポートによって評価する。
日本経済史［大学院］[Japanese Economic History],2007011,春学期,邉 英治[HOTORI EIJI],経済学部,,中間レポート（40％）、輪読での報告内容＆レジュメ（40％）、毎回の授業での発言内容（20％）。受講者の意欲・態度を重視します。
経済統計［大学院］[Economic Statistics],2007012,春学期,吉元 宇楽[YOSHIMOTO URAKU],経済学部,,学生発表（40%）、期末試験/レポート（60%）※履修者数により学生発表の形態が変化する場合、評価比率が前後する。具体的にはガイダンス時にアナウンスする。
数理統計学［大学院］[Mathematical Economics],2007013,春学期,永井 圭二[NAGAI KEIJI],経済学部,,毎回の授業ノートを授業支援システムを通じて提出してもらう。演習問題を数回程度出す予定。定期試験を行う。
計量経済学［大学院］[Econometrics],2007014,春学期,金澤 匡剛[KANAZAWA KYOGO],経済学部,,宿題(28%)、期末試験(72%)
経済数学［大学院］[Mathematics for Economics],2007015,春学期,平野 飛鳥[HIRANO ASUKA],経済学部,,小テスト4回(各15％)、最終課題40％
ミクロ経済理論特論［大学院］[Selected Topics in Microeconomic Theory],2007019,春学期,石田 航[ISHIDA WATARU],経済学部,,Only based on the performance for the final task.
マクロ経済学特論［大学院］[Macroeconomic Theory],2007020,秋学期,藤生 源子[FUJIO MINAKO],経済学部,,授業への参加度及び報告に基づいて評価する。
現代経済システム特論［大学院］[Selected Topics in Contemporary Economic Systems],2007025,秋学期,小川 翔吾[OGAWA SHOGO],経済学部,,授業中の議論の参加度（60%）と、報告の取り組み（40%）で評価する。
比較経済システム特論［大学院］[Selected Topics in Comparative Economic Systems],2007026,秋学期,陳 雨[CHEN YUTING],経済学部,,出席（30%）レポート（30%）プレゼンテーション（40%）
経済史特論［大学院］[Selected Topics in Economic History],2007027,秋学期,石山 幸彦[ISHIYAMA YUKIHIKO],経済学部,,毎回の発言内容と、学期末に提出を求めるレポートによって評価する。
日本経済史特論［大学院］[Selected Topics in Japanese Economic History],2007028,秋学期,邉 英治[HOTORI EIJI],経済学部,,毎回の授業での発言内容（20％）、輪読レジュメ・報告（40％）、期末レポート（40％）。期末レポートの内容は1月上旬までに発表します。
現代経済史［大学院］[Modern Economic History],2007029,春学期,出口 雄大[DEGUCHI YUDAI],経済学部,,定期試験によって評価する（100%）。
現代経済史特論［大学院］[Selected Topics in Modern Japanese History],2007030,秋学期,出口 雄大[DEGUCHI YUDAI],経済学部,,期末レポートによって評価する（100%）。
国際経済史［大学院］[International Economic History],2007031,春学期,松永 友有[MATSUNAGA TOMOARI],経済学部,,課題への取り組み、学期末レポートなどを総合的に評価する。
国際経済史特論［大学院］[Selected Topics in International Economic History],2007032,秋学期,松永 友有[MATSUNAGA TOMOARI],経済学部,,出席、課題への取り組み、議論への参加、学期末レポートなどを総合的に評価する。
経済統計特論［大学院］[Selected Topics in Economic Statistics],2007035,秋学期,吉元 宇楽[YOSHIMOTO URAKU],経済学部,,学生発表（40%）、期末試験/レポート（60%）※履修者数により学生発表の形態が変化する場合、評価比率が前後する。具体的にはガイダンス時にアナウンスする。
数理統計学特論［大学院］[Selected Topics in Mathematical Statistics],2007036,秋学期,永井 圭二[NAGAI KEIJI],経済学部,,演習問題を数回程度出す予定。パソコンを用いた演習問題。定期試験を行う。
計量経済学特論［大学院］[Selected Topics in econometrics],2007037,秋学期,金澤 匡剛[KANAZAWA KYOGO],経済学部,,宿題(28%)、期末試験(72%)
ミクロデータサイエンス［大学院］[Data Science(micro)],2007038,春学期,古川 知志雄[FURUKAWA CHISHIO],経済学部,,授業と宿題を総合的に評価する。
マクロデータサイエンス［大学院］[Data Science(macro)],2007039,秋学期,相馬 尚人[SOMA NAOTO],経済学部,,レポート（80％），質問・コメントボーナス（20％）レポート課題は最終授業（15回目）まで問題が逐次的に追加されていきます。それぞれの問題にどのタイミングで取り組み始めるかは自由です。また，途中まで取り組んだ段階で担当教員に相談しコメントやヒントをもらうことができます。最終結果だけではなく，相談をしてコメントをもらい内容を修正していく過程も含めて評価対象になります。
ミクロデータサイエンス特論［大学院］[Selected Data Science(micro)],2007041,秋学期,古川 知志雄[FURUKAWA CHISHIO],経済学部,,授業、合同プログラミングへの参加と宿題を総合的に評価する。また、期末試験の代わりにデータ分析のプロジェクトを学期末課題とする。
経済政策特論［大学院］[Selected Topics in Economic Policy],2007042,秋学期,茂住 政一郎[SEIICHIRO MOZUMI],経済学部,,平常点（100%）。出席状況、講義中における報告・発言の質から総合的に評価する。
世界経済論特論［大学院］[Selected Topics in World Economy],2007043,春学期,張 馨元[ZHANG XINYUAN],経済学部,,発表（80％）、期末レポート（20％）。発表担当時の無断欠席及び授業回数の３分の１を超える欠席は、評価の対象外とする。
金融論［大学院］[Money & Banking],2007044,春学期,奥村 綱雄[OKUMURA TSUNAO],経済学部,,(1) レポート (70%)(2) 授業参加・授業中の小テスト (30%)
